financial_year,sending_location,option_type,nclient,rate
2016/17,Midlothian,Option 4,115,1.3
2016/17,Moray,Option 1,200,2.1
2016/17,Moray,Option 2,220,2.3
2016/17,Moray,Option 3,905,9.4
2016/17,Moray,Option 4,10,0.1
2016/17,North Ayrshire,Option 1,210,1.5
2016/17,North Ayrshire,Option 2,25,0.2
2016/17,North Ayrshire,Option 3,6300,46.4
2016/17,North Ayrshire,Option 4,25,0.2
2016/17,North Lanarkshire,Option 1,210,0.6
2016/17,North Lanarkshire,Option 2,845,2.5
2016/17,North Lanarkshire,Option 3,150,0.4
2016/17,North Lanarkshire,Option 4,10,0
2016/17,Orkney Islands,Option 1,90,4.1
2016/17,Orkney Islands,Option 2,10,0.5
2016/17,Orkney Islands,Option 3,0,0
2016/17,Orkney Islands,Option 4,0,0
2016/17,Perth and Kinross,Option 1,290,1.9
2016/17,Perth and Kinross,Option 2,450,3
2016/17,Perth and Kinross,Option 3,4530,30.1
2016/17,Perth and Kinross,Option 4,455,3
2016/17,Renfrewshire,Option 1,210,1.2
2016/17,Renfrewshire,Option 2,40,0.2
2016/17,Renfrewshire,Option 3,625,3.6
2016/17,Renfrewshire,Option 4,45,0.3
2016/17,Scottish Borders,Option 1,360,3.1
2016/17,Scottish Borders,Option 2,10,0.1
2016/17,Scottish Borders,Option 3,1515,13.2
2016/17,Scottish Borders,Option 4,135,1.2
2016/17,Shetland Islands,Option 1,50,2.2
2016/17,Shetland Islands,Option 2,5,0.2
2016/17,Shetland Islands,Option 3,0,0
2016/17,Shetland Islands,Option 4,5,0.2
2016/17,South Ayrshire,Option 1,110,1
2016/17,South Ayrshire,Option 2,45,0.4
2016/17,South Ayrshire,Option 3,3115,27.7
2016/17,South Ayrshire,Option 4,20,0.2
2016/17,South Lanarkshire,Option 1,320,1
2016/17,South Lanarkshire,Option 2,55,0.2
2016/17,South Lanarkshire,Option 3,7215,22.8
2016/17,South Lanarkshire,Option 4,160,0.5
2016/17,Stirling,Option 1,40,0.4
2016/17,Stirling,Option 2,45,0.5
2016/17,Stirling,Option 3,1535,16.4
2016/17,Stirling,Option 4,25,0.3
2016/17,West Dunbartonshire,Option 1,110,1.2
2016/17,West Dunbartonshire,Option 2,5,0.1
2016/17,West Dunbartonshire,Option 3,0,0
2016/17,West Dunbartonshire,Option 4,0,0
2016/17,West Lothian,Option 1,210,1.2
2016/17,West Lothian,Option 2,1035,5.7
2016/17,West Lothian,Option 3,1640,9.1
2016/17,West Lothian,Option 4,415,2.3
2017/18,Scotland (Estimated),Any SDS,93900,17.3
2017/18,Scotland (Estimated),Option 1,9095,1.7
2017/18,Scotland (Estimated),Option 2,7460,1.4
2017/18,Scotland (Estimated),Option 3,81955,15.1
2017/18,Scotland (Estimated),Option 4,4485,0.8
2017/18,Aberdeen City,Any SDS,940,4.1
2017/18,Aberdeen City,Option 1,335,1.5
2017/18,Aberdeen City,Option 2,25,0.1
2017/18,Aberdeen City,Option 3,690,3
2017/18,Aberdeen City,Option 4,105,0.5
2017/18,Aberdeenshire,Any SDS,4470,17.1
2017/18,Aberdeenshire,Option 1,560,2.1
2017/18,Aberdeenshire,Option 2,35,0.1
2017/18,Aberdeenshire,Option 3,4180,16
2017/18,Aberdeenshire,Option 4,295,1.1
2017/18,Angus,Any SDS,2560,22
2017/18,Angus,Option 1,135,1.2
2017/18,Angus,Option 2,400,3.4
2017/18,Angus,Option 3,2020,17.4
2017/18,Angus,Option 4,110,0.9
2017/18,Argyll and Bute,Any SDS,1645,18.9
2017/18,Argyll and Bute,Option 1,180,2.1
2017/18,Argyll and Bute,Option 2,0,0
2017/18,Argyll and Bute,Option 3,1525,17.6
2017/18,Argyll and Bute,Option 4,60,0.7
2017/18,City of Edinburgh,Any SDS,5345,10.4
2017/18,City of Edinburgh,Option 1,1390,2.7
2017/18,City of Edinburgh,Option 2,455,0.9
2017/18,City of Edinburgh,Option 3,3890,7.6
2017/18,City of Edinburgh,Option 4,375,0.7
2017/18,Clackmannanshire,Any SDS,2565,49.9
2017/18,Clackmannanshire,Option 1,50,1
2017/18,Clackmannanshire,Option 2,50,1
2017/18,Clackmannanshire,Option 3,2545,49.5
2017/18,Clackmannanshire,Option 4,75,1.5
2017/18,Comhairle nan Eilean Siar,Any SDS,200,7.4
2017/18,Comhairle nan Eilean Siar,Option 1,100,3.7
2017/18,Comhairle nan Eilean Siar,Option 2,110,4.1
2017/18,Comhairle nan Eilean Siar,Option 3,0,0
2017/18,Comhairle nan Eilean Siar,Option 4,10,0.4
2017/18,Dumfries and Galloway,Any SDS,7030,47.1
2017/18,Dumfries and Galloway,Option 1,465,3.1
2017/18,Dumfries and Galloway,Option 2,0,0
2017/18,Dumfries and Galloway,Option 3,6790,45.5
2017/18,Dumfries and Galloway,Option 4,225,1.5
2017/18,Dundee City,Any SDS,7075,47.6
2017/18,Dundee City,Option 1,75,0.5
2017/18,Dundee City,Option 2,40,0.3
2017/18,Dundee City,Option 3,6970,46.9
2017/18,Dundee City,Option 4,10,0.1
2017/18,East Ayrshire,Any SDS,1705,14
2017/18,East Ayrshire,Option 1,205,1.7
2017/18,East Ayrshire,Option 2,155,1.3
2017/18,East Ayrshire,Option 3,1605,13.2
2017/18,East Ayrshire,Option 4,245,2
2017/18,East Dunbartonshire,Any SDS,1860,17.2
2017/18,East Dunbartonshire,Option 1,230,2.1
2017/18,East Dunbartonshire,Option 2,140,1.3
2017/18,East Dunbartonshire,Option 3,1610,14.9
2017/18,East Dunbartonshire,Option 4,115,1.1
2017/18,East Lothian,Any SDS,925,8.8
2017/18,East Lothian,Option 1,110,1
2017/18,East Lothian,Option 2,100,1
2017/18,East Lothian,Option 3,845,8.1
2017/18,East Lothian,Option 4,130,1.2
2017/18,East Renfrewshire,Any SDS,1025,10.8
2017/18,East Renfrewshire,Option 1,315,3.3
2017/18,East Renfrewshire,Option 2,185,2
2017/18,East Renfrewshire,Option 3,625,6.6
2017/18,East Renfrewshire,Option 4,95,1
2017/18,Falkirk,Any SDS,4025,25.1
2017/18,Falkirk,Option 1,60,0.4
2017/18,Falkirk,Option 2,465,2.9
2017/18,Falkirk,Option 3,3800,23.7
2017/18,Falkirk,Option 4,290,1.8
2017/18,Fife,Any SDS,4595,12.4
2017/18,Fife,Option 1,570,1.5
2017/18,Fife,Option 2,35,0.1
2017/18,Fife,Option 3,4110,11.1
2017/18,Fife,Option 4,115,0.3
